fault_id,probability,failed,passed_correct,passed_wrong_sdc
11,0.0015,222,642,0
11,0.0020,279,585,0
11,0.0025,331,533,0
11,0.0030,390,474,0
11,0.0035,439,425,0
11,0.0040,478,386,0
11,0.0045,512,352,0
11,0.0050,539,325,0
11,0.0055,560,304,0
11,0.0060,586,278,0
11,0.0065,599,265,0
11,0.0070,616,248,0
11,0.0075,628,236,0
11,0.0080,645,219,0
11,0.0085,660,204,0
11,0.0090,677,187,0
11,0.0095,689,175,0
11,0.0100,702,162,0
12,0.0000,0,864,0
12,0.0005,442,422,0
12,0.0010,608,256,0
12,0.0015,709,155,0
12,0.0020,768,96,0
12,0.0025,810,54,0
12,0.0030,825,39,0
12,0.0035,830,34,0
12,0.0040,840,24,0
12,0.0045,849,15,0
12,0.0050,852,12,0
12,0.0055,859,5,0
12,0.0060,857,7,0
12,0.0065,857,7,0
12,0.0070,858,6,0
12,0.0075,861,3,0
12,0.0080,864,0,0
12,0.0085,864,0,0
12,0.0090,864,0,0
12,0.0095,864,0,0
12,0.0100,864,0,0
13,0.0000,0,864,0
13,0.0005,148,716,0
13,0.0010,245,619,0
13,0.0015,345,519,0
13,0.0020,424,440,0
13,0.0025,483,381,0
13,0.0030,541,323,0
13,0.0035,590,274,0
13,0.0040,631,233,0
13,0.0045,665,199,0
13,0.0050,689,175,0
13,0.0055,714,150,0
13,0.0060,738,126,0
13,0.0065,752,112,0
13,0.0070,767,97,0
13,0.0075,776,88,0
13,0.0080,789,75,0
13,0.0085,794,70,0
13,0.0090,804,60,0
13,0.0095,810,54,0
13,0.0100,816,48,0
14,0.0000,0,864,0
14,0.0005,509,355,0
14,0.0010,700,164,0
14,0.0015,772,92,0
14,0.0020,823,41,0
14,0.0025,839,25,0
14,0.0030,847,17,0
14,0.0035,855,9,0
14,0.0040,859,5,0
14,0.0045,858,6,0
14,0.0050,860,4,0
14,0.0055,864,0,0
14,0.0060,863,1,0
14,0.0065,863,1,0
14,0.0070,864,0,0
14,0.0075,864,0,0
14,0.0080,864,0,0
14,0.0085,864,0,0
14,0.0090,864,0,0
14,0.0095,864,0,0
14,0.0100,864,0,0
15,0.0000,0,864,0
15,0.0005,523,341,0
15,0.0010,710,154,0
15,0.0015,778,86,0
15,0.0020,824,40,0
15,0.0025,840,24,0
15,0.0030,850,14,0
15,0.0035,856,8,0
15,0.0040,860,4,0
15,0.0045,859,5,0
15,0.0050,861,3,0
15,0.0055,864,0,0
15,0.0060,863,1,0
15,0.0065,863,1,0
15,0.0070,864,0,0
15,0.0075,864,0,0
15,0.0080,864,0,0
15,0.0085,864,0,0
15,0.0090,864,0,0
15,0.0095,864,0,0
15,0.0100,864,0,0
16,0.0000,0,864,0
16,0.0005,0,864,0
16,0.0010,0,864,0
16,0.0015,0,864,0
16,0.0020,0,864,0
16,0.0025,0,864,0
16,0.0030,0,864,0
16,0.0035,0,864,0
16,0.0040,0,864,0
16,0.0045,0,864,0
16,0.0050,0,864,0
16,0.0055,0,864,0
16,0.0060,0,864,0
16,0.0065,0,864,0
16,0.0070,0,864,0
16,0.0075,0,864,0
16,0.0080,0,864,0
16,0.0085,0,864,0
16,0.0090,0,864,0
16,0.0095,0,864,0
16,0.0100,0,864,0
17,0.0000,0,864,0
17,0.0005,0,864,0
17,0.0010,0,864,0
17,0.0015,0,864,0
17,0.0020,0,864,0
17,0.0025,0,864,0
17,0.0030,0,864,0
17,0.0035,0,864,0
17,0.0040,0,864,0
17,0.0045,0,864,0
17,0.0050,0,864,0
17,0.0055,0,864,0
17,0.0060,0,864,0
17,0.0065,0,864,0
17,0.0070,0,864,0
17,0.0075,0,864,0
17,0.0080,0,864,0
17,0.0085,0,864,0
17,0.0090,0,864,0
17,0.0095,0,864,0
17,0.0100,0,864,0
18,0.0000,0,864,0
18,0.0005,93,771,0
18,0.0010,167,697,0
18,0.0015,224,640,0
18,0.0020,274,590,0
18,0.0025,318,546,0
18,0.0030,373,491,0
18,0.0035,427,437,0
18,0.0040,465,399,0
18,0.0045,489,375,0
18,0.0050,515,349,0
18,0.0055,544,320,0
18,0.0060,568,296,0
18,0.0065,579,285,0
18,0.0070,600,264,0
18,0.0075,614,250,0
18,0.0080,631,233,0
18,0.0085,643,221,0
18,0.0090,658,206,0
18,0.0095,670,194,0
18,0.0100,678,186,0
19,0.0000,0,864,0
19,0.0005,207,657,0
19,0.0010,342,522,0
19,0.0015,456,408,0
19,0.0020,527,337,0
19,0.0025,598,266,0
19,0.0030,648,216,0
19,0.0035,695,169,0
19,0.0040,721,143,0
19,0.0045,737,127,0
19,0.0050,755,109,0
19,0.0055,761,103,0
19,0.0060,780,84,0
19,0.0065,790,74,0
19,0.0070,797,67,0
19,0.0075,807,57,0
19,0.0080,812,52,0
19,0.0085,818,46,0
19,0.0090,819,45,0
19,0.0095,822,42,0
19,0.0100,828,36,0
20,0.0000,0,864,0
20,0.0005,241,623,0
20,0.0010,402,462,0
20,0.0015,518,346,0
20,0.0020,593,271,0
20,0.0025,648,216,0
20,0.0030,692,172,0
20,0.0035,727,137,0
20,0.0040,760,104,0
20,0.0045,774,90,0
20,0.0050,789,75,0
20,0.0055,803,61,0
20,0.0060,813,51,0
20,0.0065,826,38,0
20,0.0070,827,37,0
20,0.0075,835,29,0
20,0.0080,837,27,0
20,0.0085,838,26,0
20,0.0090,843,21,0
20,0.0095,840,24,0
20,0.0100,843,21,0
21,0.0000,0,864,0
21,0.0005,256,608,0
21,0.0010,408,456,0
21,0.0015,533,331,0
21,0.0020,605,259,0
21,0.0025,653,211,0
21,0.0030,709,155,0
21,0.0035,742,122,0
21,0.0040,772,92,0
21,0.0045,789,75,0
21,0.0050,784,80,0
21,0.0055,801,63,0
21,0.0060,822,42,0
21,0.0065,833,31,0
21,0.0070,831,33,0
21,0.0075,841,23,0
21,0.0080,838,26,0
21,0.0085,843,21,0
21,0.0090,847,17,0
21,0.0095,846,18,0
21,0.0100,848,16,0
