Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00   185544     0.00     0.00  std::_Hashtable<double*, std::pair<double* const, unsigned long>, std::allocator<std::pair<double* const, unsigned long> >, std::__detail::_Select1st, std::equal_to<double*>, std::hash<double*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, double* const&, unsigned long) const
  0.00      0.07     0.00   185542     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<double* const, unsigned long> >::_M_ptr() const
  0.00      0.07     0.00   185542     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<double* const, unsigned long> >::_M_addr() const
  0.00      0.07     0.00   185542     0.00     0.00  decltype ((get<0>)((forward<std::pair<double* const, unsigned long> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<double* const, unsigned long> const&>(std::pair<double* const, unsigned long> const&) const
  0.00      0.07     0.00   185542     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<double* const, unsigned long> >::_M_v() const
  0.00      0.07     0.00   185542     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<double* const, unsigned long> >::_M_valptr() const
  0.00      0.07     0.00   185542     0.00     0.00  double* const& std::__pair_get<0ul>::__const_get<double* const, unsigned long>(std::pair<double* const, unsigned long> const&)
  0.00      0.07     0.00   185542     0.00     0.00  std::tuple_element<0ul, std::pair<double* const, unsigned long> >::type const& std::get<0ul, double* const, unsigned long>(std::pair<double* const, unsigned long> const&)
  0.00      0.07     0.00   185542     0.00     0.00  std::pair<double* const, unsigned long> const& std::forward<std::pair<double* const, unsigned long> const&>(std::remove_reference<std::pair<double* const, unsigned long> const&>::type&)
  0.00      0.07     0.00   185540     0.00     0.00  std::__detail::_Hashtable_base<double*, std::pair<double* const, unsigned long>, std::__detail::_Select1st, std::equal_to<double*>, std::hash<double*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.07     0.00   185540     0.00     0.00  std::__detail::_Hashtable_base<double*, std::pair<double* const, unsigned long>, std::__detail::_Select1st, std::equal_to<double*>, std::hash<double*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(double* const&, unsigned long, std::__detail::_Hash_node_value<std::pair<double* const, unsigned long>, false> const&) const
  0.00      0.07     0.00   185540     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<double*>, true>::_M_cget() const
  0.00      0.07     0.00   185540     0.00     0.00  std::equal_to<double*>::operator()(double* const&, double* const&) const
  0.00      0.07     0.00   185540     0.00     0.00  std::__detail::_Hashtable_base<double*, std::pair<double* const, unsigned long>, std::__detail::_Select1st, std::equal_to<double*>, std::hash<double*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.07     0.00   182262     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::end()
  0.00      0.07     0.00   182260     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > const&, std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > const&)
  0.00      0.07     0.00   182259     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::end()
  0.00      0.07     0.00   182257     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.07     0.00   176529     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.07     0.00   158916     0.00     0.00  void ulmBLAS::ref::axpy<int, double, double, double>(int, double const&, double const*, int, double*, int)
  0.00      0.07     0.00   158916     0.00     0.00  void ulmBLAS::axpy<int, double, double, double>(int, double const&, double const*, int, double*, int)
  0.00      0.07     0.00   138798     0.00     0.07  void ulmBLAS::ugemm<int, double>(int, double const&, double const*, double const*, double const&, double*, int, int, double const*, double const*)
  0.00      0.07     0.00   123704     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<double* const, unsigned long> >::_M_ptr()
  0.00      0.07     0.00   123704     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<double* const, unsigned long> >::_M_addr()
  0.00      0.07     0.00   123704     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_ptr()
  0.00      0.07     0.00   123704     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_addr()
  0.00      0.07     0.00   123704     0.00     0.00  std::__cxx11::_List_base<double*, std::allocator<double*> >::_M_get_Node_allocator()
  0.00      0.07     0.00   123704     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<double* const, unsigned long> >::_M_valptr()
  0.00      0.07     0.00   123704     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_valptr()
  0.00      0.07     0.00   123700     0.00     0.00  std::__cxx11::list<double*, std::allocator<double*> >::end()
  0.00      0.07     0.00   123698     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::allocator<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.07     0.00   123698     0.00     0.00  std::hash<unsigned long>::operator()(unsigned long) const
  0.00      0.07     0.00   123698     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned long const&) const
  0.00      0.07     0.00   123698     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.07     0.00   123698     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.07     0.00   123698     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long>, true>::_M_cget() const
  0.00      0.07     0.00   123696     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.07     0.00   123696     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.07     0.00   123696     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::allocator<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned long const&, unsigned long) const
  0.00      0.07     0.00   123696     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::allocator<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned long const&, unsigned long) const
  0.00      0.07     0.00   123696     0.00     0.00  std::unordered_map<double*, unsigned long, std::hash<double*>, std::equal_to<double*>, std::allocator<std::pair<double* const, unsigned long> > >::operator[](double* const&)
  0.00      0.07     0.00   123696     0.00     0.00  std::unordered_map<unsigned long, std::__cxx11::list<double*, std::allocator<double*> >, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > > >::operator[](unsigned long const&)
  0.00      0.07     0.00   123696     0.00     0.00  std::mutex::lock()
  0.00      0.07     0.00   123696     0.00     0.00  std::mutex::unlock()
  0.00      0.07     0.00   123696     0.00     0.00  std::__detail::_Map_base<double*, std::pair<double* const, unsigned long>, std::allocator<std::pair<double* const, unsigned long> >, std::__detail::_Select1st, std::equal_to<double*>, std::hash<double*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](double* const&)
  0.00      0.07     0.00   123696     0.00     0.00  std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::allocator<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned long const&)
  0.00      0.07     0.00   123694     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_ptr() const
  0.00      0.07     0.00   123694     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_addr() const
  0.00      0.07     0.00   123694     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&>(std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&) const
  0.00      0.07     0.00   123694     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_v() const
  0.00      0.07     0.00   123694     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_valptr() const
  0.00      0.07     0.00   123694     0.00     0.00  unsigned long const& std::__pair_get<0ul>::__const_get<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >(std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&)
  0.00      0.07     0.00   123694     0.00     0.00  std::tuple_element<0ul, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::type const& std::get<0ul, unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >(std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&)
